,symbol,rate,time
385,BTCUSDT,0.00016094,2020-05-08 08:00:00
386,BTCUSDT,0.00034016,2020-05-08 16:00:00
387,BTCUSDT,0.00053190,2020-05-09 00:00:00
388,BTCUSDT,0.00042037,2020-05-09 08:00:00
389,BTCUSDT,0.00075816,2020-05-09 16:00:00
390,BTCUSDT,0.00058018,2020-05-10 00:00:00
391,BTCUSDT,0.00042326,2020-05-10 08:00:00
392,BTCUSDT,0.00010000,2020-05-10 16:00:00
393,BTCUSDT,0.00010000,2020-05-11 00:00:00
394,BTCUSDT,0.00010000,2020-05-11 08:00:00
395,BTCUSDT,0.00010000,2020-05-11 16:00:00
396,BTCUSDT,0.00010000,2020-05-12 00:00:00
397,BTCUSDT,0.00010000,2020-05-12 08:00:00
398,BTCUSDT,0.00010000,2020-05-12 16:00:00
399,BTCUSDT,0.00010000,2020-05-13 00:00:00
400,BTCUSDT,0.00010000,2020-05-13 08:00:00
401,BTCUSDT,0.00010000,2020-05-13 16:00:00
402,BTCUSDT,0.00010000,2020-05-14 00:00:00
403,BTCUSDT,0.00010000,2020-05-14 08:00:00
404,BTCUSDT,0.00010000,2020-05-14 16:00:00
405,BTCUSDT,0.00010000,2020-05-15 00:00:00
406,BTCUSDT,0.00010000,2020-05-15 08:00:00
407,BTCUSDT,0.00004400,2020-05-15 16:00:00
408,BTCUSDT,0.00010000,2020-05-16 00:00:00
409,BTCUSDT,0.00010000,2020-05-16 08:00:00
410,BTCUSDT,0.00010000,2020-05-16 16:00:00
411,BTCUSDT,0.00010000,2020-05-17 00:00:00
412,BTCUSDT,0.00008001,2020-05-17 08:00:00
413,BTCUSDT,0.00004125,2020-05-17 16:00:00
414,BTCUSDT,0.00000888,2020-05-18 00:00:00
415,BTCUSDT,0.00010000,2020-05-18 08:00:00
416,BTCUSDT,0.00010000,2020-05-18 16:00:00
417,BTCUSDT,-0.00006640,2020-05-19 00:00:00
418,BTCUSDT,0.00010000,2020-05-19 08:00:00
419,BTCUSDT,0.00007892,2020-05-19 16:00:00
420,BTCUSDT,0.00010000,2020-05-20 00:00:00
421,BTCUSDT,0.00010000,2020-05-20 08:00:00
422,BTCUSDT,0.00010000,2020-05-20 16:00:00
423,BTCUSDT,0.00010000,2020-05-21 00:00:00
424,BTCUSDT,-0.00009027,2020-05-21 08:00:00
425,BTCUSDT,0.00006809,2020-05-21 16:00:00
426,BTCUSDT,0.00010000,2020-05-22 00:00:00
427,BTCUSDT,-0.00005150,2020-05-22 08:00:00
428,BTCUSDT,-0.00002396,2020-05-22 16:00:00
429,BTCUSDT,0.00006867,2020-05-23 00:00:00
430,BTCUSDT,-0.00002092,2020-05-23 08:00:00
431,BTCUSDT,-0.00001081,2020-05-23 16:00:00
